camp_id,VENUE / venue_id,team_id,Name,start_date,end_date,location,goals,achieved,why,closed
UYFqMEVbRKONkz4G7Rpssg,fyEEmagVRLiJyHJYp99JCQ,vdpZwd6QRd2i0NFueuPXOA,Mar del Plata,"4/2/2025, 12:00:00 a. m.","21/2/2025, 12:00:00 a. m.","Mar del Plata, Buenos Aires","1 ) Team building, know each other closer

2 ) Build up the confidence by opening up our fears, listening each other and being humble to learn at weak points",true,,
5xqh.QsETT-DrkjYC8Psmw,8VZ3ulzfRaWR34SVusMQ9w,vdpZwd6QRd2i0NFueuPXOA,Previa Arenal Regatta,"7/3/2025, 3:00:00 a. m.","5/4/2025, 2:00:00 p. m.","Palma de Mallorca, Spain",Arrive with confidence to Prince Sofia and make the medal race?,true,Getting active enough to be sharper on desicion taking and getting better on matching strategy and set up for the races,true
PM7iWod1Rpu15GYnKI8g8w,8VZ3ulzfRaWR34SVusMQ9w,vdpZwd6QRd2i0NFueuPXOA,Arenal Training Regatta,"14/3/2025, 12:00:00 a. m.","16/3/2025, 12:00:00 a. m.","Palma de Mallorca, Spain","- Interaction before and during races
- Strategy and starting plan to be strong off the line
- Accuracy in set up for every race
- Don’t take negative comments personal, we can say them to let go, and after we say it, “Vamos, I’m back dude”!
- When we are in the octopus, how we plan with time ripping and recovery lines",,,
a-9YGY.BpR6SlV.AqI9UsHw,8VZ3ulzfRaWR34SVusMQ9w,vdpZwd6QRd2i0NFueuPXOA,Pre palma,"21/3/2025, 12:00:00 a. m.","30/3/2025, 12:00:00 a. m.","Palma de Mallorca, Spain",,,,
eL0CvjPwQ8aO9HZFOuSOyQ,8VZ3ulzfRaWR34SVusMQ9w,vdpZwd6QRd2i0NFueuPXOA,Princesa Sofía,"31/3/2025, 12:00:00 a. m.","5/4/2025, 0:00:00","Palma de Mallorca, Spain","First competition together
Learned from each other and find out routine",true,"We been able to perform well on our first event ever as a team
We feel capable to detect mistakes during competition and make a better plan for the next day in similar condition and with better performance",
5TjNPtK9ThSZc13z9a3qow,d1505uqpRT2ogUWxFkdtGQ,vdpZwd6QRd2i0NFueuPXOA,Pre Hyeres,"16/4/2025, 12:00:00 a. m.","20/4/2025, 12:00:00 a. m.","Hyeres, France",,,,
1nB.ZQ.wRUKMMnlUwEjkIQ,d1505uqpRT2ogUWxFkdtGQ,vdpZwd6QRd2i0NFueuPXOA,Hyeres Olympic Week,"21/4/2025, 12:00:00 a. m.","26/4/2025, 12:00:00 a. m.","Hyeres, France","-defining type of wind condition  / defining style for type of day (mentality, speed, head out)

-start plan and execution. When to be aggressive and when to be open and flexible

-DW speed. Extend the lead when we are in firsts positions

",,,
Vo4YL.xlQ3Cg6cPkilJ8aw,HqfuEDdaTly1Wlbw9bbflg,vdpZwd6QRd2i0NFueuPXOA,Miami,"5/12/2025, 12:00:00 AM","16/5/2025, 12:00:00 a. m.",Miami,"To work on for the next step:

Mental / decision making racing:

- More comms when we have unstable breeze before approaching the next leg using the fleet, marks to set the plan. Wind angle, pressure, marks
And as we go on through the plan, rechecking that what we picked is good. Ian making questions to Nev to get into the planing strategy

- Intensity on decisions till the finish
Don’t think it’s done with only one decision made well and then only focus in performance.
Ian drives the boat and pushes Nev to keep head out to be 100% sure we are on the wright path

- In final days with uncertain  wind/plan, we should take a look where our rivals are staring at
Make sure we are not risking up too much by doing something completely different and put too many points in the game if doesn’t go well

Drills to practice in all conditions:
- Speed downwind / lay lines (tight lay lines UW under 9knts)
- Moño at gates (kiwi drop immediately tack) 
- Moño top mark
- Long long starting line starting at the middle (without transit)(coms of wind shift and changes to anticipate when the shoot will be)
- Manouvres with boundaries


Planing condition:
- Faster turn in tacks with flat water
- Develop Nevin’s way to hook himself out of gybes with the hand of the tiller
- Straight line trying Chinese mode (full full hike from toes to hair) want a photo!

Offshore breeze (any wind intensity)
- Short course 100% head out allll the time (don’t care performance)

Light
- Double gybe light breeze. Gybe, pump and go again (learn not to cross too much the boom in the middle to pass battens) grabbing boom from below
- In tight lanes, fast to get in when WW heel appears to avoid loosing side ways
- Accelerations (3 pumps and go)(how Ian will go, under lowers, horse step, 2nd or 3rd skul?)
- Go in circles around the rib keeping flow in every move

Above 20knts:
- Laps",,,
46UWJpT7SZy7lauJCJiQvg,R57I7ohJSmGa-3SnJNDbfA,UJEpYnoOSnKSfaXjkFvzsA,Camp SUDA 2025,"13/5/2025, 12:00:00 a. m.","23/5/2025, 12:00:00 a. m.",,,,,
KQOW-XQESbGncHvEZwW-Ag,b4j8cWf.SYGd-tUogrp5fQ,vdpZwd6QRd2i0NFueuPXOA,Pre euros,"27/5/2025, 12:00:00 a. m.","2/5/2025, 12:00:00 a. m.",,"-maintain manouvers in a high level (cross overs)
-start plan(be open depending on how the wind is reacting) fight/ or moving around to search for the best pressure
-long line and staring from the middle
-speed! UW (forward mode) DW (strong vmg)
-low mode DW 
-tight laylines UW",,,
xPf4v1SFSOqJmaW5CsoWlA,KYAr-oZ3TiuN5DRs9Oo4HQ,UJEpYnoOSnKSfaXjkFvzsA,Pre Euros,"28/5/2025, 12:00:00 a. m.","9/6/2025, 12:00:00 a. m.",,,,,
WaKVz-IpRrCjorVqk5q7aw,b4j8cWf.SYGd-tUogrp5fQ,vdpZwd6QRd2i0NFueuPXOA,Euros,"3/6/2025, 12:00:00 a. m.","8/6/2025, 12:00:00 a. m.",,"-beat first boat bellow and above in the start 

-starting comms

-type of condition

-support each other. Hard for everyone, head up and ready for the next one

-if it is uncertain, follow instinc and push as a team with trust and convinsment giving the best of us",,,
k.BKFIPqT0mZjjRdXIGXHA,KYAr-oZ3TiuN5DRs9Oo4HQ,UJEpYnoOSnKSfaXjkFvzsA,Euro 49er,"3/6/2025, 12:00:00 a. m.","8/6/2025, 12:00:00 a. m.",,,,,
PdyN6qrBT4mM39wsC1Dong,KYAr-oZ3TiuN5DRs9Oo4HQ,UJEpYnoOSnKSfaXjkFvzsA,Buenos Aires junio julio,"13/6/2025, 12:00:00 a. m.","30/7/2025, 12:00:00 a. m.",,"-subir de peso
-hábito de navegar (ordenar todas nuestras cosas para poder navegar cada día)
-revisión del material, no romper nada durante los entrenamientos

Agua:
-largadas
-aceleraciones y directo al modo
-Down speed manouvers
-maniobras en general",,,
QY-ul09.RK-ETdlAcnksRg,R57I7ohJSmGa-3SnJNDbfA,UJEpYnoOSnKSfaXjkFvzsA,Pre mundial ,"15/6/2025, 12:00:00 a. m.","8/9/2025, 12:00:00 a. m.",,"-navegar 5 veces por semana (acomododandonos al prono para navegar con la mayor intensidad de viento cada día)

-trabajar en el barco para aprender a mantenerlo y no tener días perdido en el agua por rotura de material

-ir al gimnasio cuando hay poco viento y los días que no navegamos

-charlar más las cosas y que no haya sorpresas con cambios de planes

-ser atletas, pensar cómo podemos mejorar en lo fisico

-con poco viento, recorridos cortos con muchas maniobras bien intenso y efectivo

",,,
T2j4G-xfQYWqCh9a.oCRjw,R57I7ohJSmGa-3SnJNDbfA,UJEpYnoOSnKSfaXjkFvzsA,Junio/julio,"15/6/2025, 12:00:00 a. m.","20/7/2025, 12:00:00 a. m.",,,,,
1XsO3H7OQU2-3BwAVnXyYA,P-10CnxbS5StgZAsCy20uQ,vdpZwd6QRd2i0NFueuPXOA,Long Beach pre regatta,"1/7/2025, 12:00:00 a. m.","16/7/2025, 12:00:00 a. m.",,,,,
TVRi7Lo1TxWo3RfaeYAFXA,P-10CnxbS5StgZAsCy20uQ,vdpZwd6QRd2i0NFueuPXOA,LBOCR,"17/7/2025, 12:00:00 a. m.","20/7/2025, 12:00:00 a. m.",,,,,
