image_id,session_id,description
CIWd5fhLTsKK4VL8XqLysg,871OetygSpCAeHgFLyB6-g,Far from over mate!
T.SGnyknRDSv7GnHk3Gacg,XWhFgD0LTna1bewLont3ig,"Looks like Uruguay
Nevin’s fit on the hull instead of on the rail
Both bodies in the same line on a lighter range"
zxSkCrahS7iOW0lAoyvqSA,HVudr28vS1-IYYi..rhGvQ,AUT testing new tuning. Looks really open all the way down the leech to me. Almost no return.  
B7oUuro7R66ELEfWAo2rJg,dB2coQOMSju.XScrFLxznQ,
e25L.Ij-S4GEH.F4o9o69A,a-lWJSVb0SaOejFzgnhT9rg,
jLeeMpAgSzGGVcg-daSCAg,a-lWJSVb0SaOejFzgnhT9rg,
R-TlMQ42Rpm1Kp0vuTF.3w,8D3IpYvgSzOojIw5JMixtg,"Find the lanes to be clear of the line and develop speed. Sometimes, better to be patience and then tack than hurrying up and compromising our 4min lane to the side we strategically picked"
FlzD3m9bQGeSsCoDLRTcbA,HaEgJvF.RjCXq-HAtWOIvQ,"Make sure to pick la es of the line to develop speed and be one of those 8 boats sailing clear and fast to the side we strategically picked.
Important as well to be patience, better wait 10/20sec to secure space than tacking under preassure and tight lane"
zaUQyjz1T8e-Ua8zhb-4yg,a-UdlFimpRxm1ZkUgIP.6iw,
CG-UOmBRT--FSN8DE3TnjA,fQ3yMmH-ReuoegeHkR8kaw,
TTj5WXhxQ2WyaKvxSwnMWg,fQ3yMmH-ReuoegeHkR8kaw,
QtNGhZ4RR16xz3iG.QN2fw,Pete’s lane,PETE’S lane. Take as much as we can to get into a pressure without being rolled by the boat ahead
YYmQ7.P-RDqeAGBWtWGGTg,AsKwtC7bRLuLa4jb7N9zcA,Pete’s lane
3kp8lwBhRDuohXuACxFJFQ,odVgEL3NSayPc4tbO2gCjQ,Too many boats bellow us. Hard to got our best vmg in that position. Lower lanes were stronger
grVzg2mcT5G54VpGStNYsQ,MaERPYwBTT-BE.1WFNE3Gw,"We can see AUT boat flatter and helm out when the spinaker is about to get filled
Usa more heel with higher bow.
AUT can be strong into engaging in waves"
a.a-XbSZUSROhdwYZ.4j48g,a.kJSHh1zSC-iDJxeRXQMKA,"Moments where the leech was too open
We can be stronger off the line by having a bit more controls on in the preassure"
eIuZbGKTSFSRGjWyiUrM-Q,xEXAdmylTcOFt1CmdVarX,"Ian has more range in be stretching his leg over the spinaker socket. We need to avoid to have the ass under over the toes, there’s were we are limited in movement"
125xdF4SSVCmSiwRoV4M9g,xEXAdmylTcOFt1CmdVarXw,"Ian has more range to go in. He can use his back foot to go to LW of the center line. We have to avoid being with the feet under the ass cause if we loose some pressure, we will be late to come in and hold the flat platform"
nPIEGGhKT1ehUYzuJuPIKQ,4QgOVY.SR4qhTLLOMLBDcw,Solid platform with flat sails
twglVxVORKO2jTLbKP6iHQ,YqLztcRMSZaSjdhciWHYwA,
XVgznyyhR.-VoF37GheHVw,YqLztcRMSZaSjdhciWHYwA,"Normally this is the heel we have (+1), and I think that the can go WW heel (-1). And from there, learn to steer and to trim the kite for prime mode"
