venue_id,GENERAL DATA / Name,GENERAL DATA / team_id,ASSESS / assessment_created
8VZ3ulzfRaWR34SVusMQ9w,Palma,vdpZwd6QRd2i0NFueuPXOA,true
fyEEmagVRLiJyHJYp99JCQ,Mar del Plata,vdpZwd6QRd2i0NFueuPXOA,false
d1505uqpRT2ogUWxFkdtGQ,Hyeres,vdpZwd6QRd2i0NFueuPXOA,true
HqfuEDdaTly1Wlbw9bbflg,Miami,vdpZwd6QRd2i0NFueuPXOA,false
R57I7ohJSmGa-3SnJNDbfA,Buenos Aires,UJEpYnoOSnKSfaXjkFvzsA,true
b4j8cWf.SYGd-tUogrp5fQ,Greece,vdpZwd6QRd2i0NFueuPXOA,true
KYAr-oZ3TiuN5DRs9Oo4HQ,Grecia Tesalaniki,UJEpYnoOSnKSfaXjkFvzsA,true
P-10CnxbS5StgZAsCy20uQ,Los Angeles,vdpZwd6QRd2i0NFueuPXOA,true
ekxF740NRW2c0qXhGKZBPg,Gorge,vdpZwd6QRd2i0NFueuPXOA,
PofVQaXGTnOvCHx210DEoQ,Cagliari,vdpZwd6QRd2i0NFueuPXOA,true
b7t3LB66T9yFZ1HAoNp2RQ,Cagliari,UJEpYnoOSnKSfaXjkFvzsA,
o1eNzbeCRdCI1u8LL3Ykxg,Buenos Aires,vdpZwd6QRd2i0NFueuPXOA,
VabRLgSyQPO5VVchTquvDA,New Zealand,vdpZwd6QRd2i0NFueuPXOA,true
f6P2MVDTTbCMneslCKbgKg,Palma,UJEpYnoOSnKSfaXjkFvzsA,
